,0
57,59.73153863028094
67,58.812931513090426
102,58.54911466237348
42,57.56047164369886
36,57.212144744200025
70,56.70063100959582
32,56.440681174238506
22,56.05576106768353
85,55.87471719483137
31,55.826499273708244
37,54.60305661188285
28,54.514164992892525
5,54.50616031282316
71,54.268866699199044
20,53.92205578664188
48,53.64036907761132
50,53.61025629772289
75,53.53806932680669
8,53.17965316947084
40,53.11382110145072
30,53.08731763709316
55,52.913447835992855
29,52.90360065294928
94,52.81340548089888
96,52.78117032997118
81,52.69865051383107
7,52.51210680129104
6,52.394347097074956
9,52.38160346900821
84,52.37685893758681
18,52.297600329249484
103,52.23640349560047
87,52.184967868904785
110,52.07833904951769
11,52.066447824436445
69,51.96893852521608
109,51.91325733187768
33,51.65482335330238
83,51.47316190348348
60,51.4657505756533
27,51.35148999165723
73,51.22715019005045
64,51.108074161242264
112,50.95558793788414
47,50.8892622059175
72,50.50027434120216
77,50.09148003944664
43,49.71559798395763
68,49.52656291356835
104,49.52334033716609
93,49.400162609277615
100,49.28099693523858
99,49.128656048404295
21,49.04377745932707
78,48.971104476353446
74,48.93247152148324
51,48.92376092111308
14,48.84284326001338
38,48.762731610372036
59,48.64142335639862
19,48.62171932782655
90,48.61131405554744
44,48.541671366436724
63,48.52570366194294
15,48.516738290322024
46,48.30583415656484
1,48.19433532682967
26,48.076030658545335
16,48.0475275849934
95,48.01212858250336
49,47.98192632494111
12,47.843698555043176
76,47.8120306720188
88,47.65455805233775
54,47.538534130229635
3,47.533259932179945
35,47.49405696264522
62,47.29980291201592
92,47.269796693640274
107,47.239403665412475
97,46.81540814491594
45,46.679803244895176
105,46.540183601608355
106,46.51299552007907
52,46.29701887132029
101,46.06292853565922
23,45.99481094133011
41,45.70118051792693
2,45.43949662425045
25,45.42792356517111
98,45.36981727940108
89,45.25230953592505
86,45.21839154488293
4,45.078467299838486
56,44.803851137474744
39,44.686589650273845
66,44.24365214773184
65,43.67836643901657
58,43.402607928845285
10,43.22724874922772
80,43.19553443165264
53,43.096949249034
91,42.824900708299914
111,42.677355490896005
17,42.12595641899076
13,41.83639804979229
82,41.755950279753606
79,41.47830363222438
34,40.861245399255566
61,39.6839445780328
